Longitud,MejorCaso,PeorCaso
1000,0.00015,0.0159
2000,0.0002,0.0347
4000,0.0001,0.06495
8000,0.0001,0.0822
16000,0.0001,0.12745
32000,0.0001,0.2414
64000,0.0001,0.49965
128000,0.0001,0.9361
256000,0.0001,2.1746
512000,0.0001,4.4143
1024000,0.0001,8.72735
